
NextEra Energy ..,NEE,"25,380,838",17.77,16.52,
Duke Energy Cor..,DUK,"9,953,612",8.33,7.53,
Southern Compan..,SO,"13,698,922",7.00,1.44,
Dominion Energy..,D,"10,460,092",6.45,-8.64,
Exelon Corporat..,EXC,"12,650,972",5.58,25.55,
American Electr..,AEP,"6,472,128",4.51,-0.89,
Sempra Energy,SRE,"4,131,372",4.36,-7.73,
Xcel Energy Inc..,XEL,"6,966,184",3.68,-7.66,
Public Service ..,PEG,"6,541,008",3.44,9.08,
American Water ..,AWK,"2,348,175",3.34,11.01,
