
Exxon Mobil Cor..,XOM,"95,714,020",22.58,63.05,
Chevron Corpora..,CVX,"48,459,984",19.95,32.78,
Schlumberger NV,SLB,"39,134,760",4.69,50.48,
EOG Resources I..,EOG,"13,580,584",4.56,90.70,
ConocoPhillips,COP,"16,480,801",4.42,77.67,
Pioneer Natural..,PXD,"6,349,337",4.33,86.51,
Marathon Petrol..,MPC,"17,859,872",4.32,56.41,
Williams Compan..,WMB,"34,000,036",3.49,37.10,
Phillips 66,PSX,"12,257,030",3.44,14.63,
Kinder Morgan I..,KMI,"54,548,064",3.34,17.44,
